



ID_LATTES, NAME
7166030596636868, Thales Vaz Maciel
3646026898257545, Thiago Cassio Krug
1560771253913044, Tiago Fossati Otero
0790769833478481, Tiago Stapenhorst Martins
2509917962288493, Vanessa Barbosa Rolim
9940289333509769, Vania Elisabete Schneider
0412793120877584, Vinícios Camponogara Tomazetti
9564405566367158, Vinícius Fülber Garcia
5445543982093867, Vitor Hugo Bezerra
5726259776195113, Wdnei Ribeiro da Paixao
6636099673079414, William Felipe Marx
5581053144239848, William Bortoluzzi Pereira
2739575934175425, Willian Eduardo de Moura Casante
5240758839011827, Willian Ventura Koerich
6854430172424635, Yuri Socher Bichibichi
