NOME,GRADUAÇÃO,FACULDADE DE GRADUAÇÃO,CURSO GRADUAÇÃO,INICIO_GRADUACAO,TERMINO_GRADUACAO,NOME,GRADUAÇÃO,ID,MESTRADO,FACULDADE DE MESTRADO,CURSO DE MESTRADO,DISSERTAÇÃO DE MESTRADO,INICIO_MESTRADO,TERMINO_MESTRADO,DOUTORADO,FACULDADE DE DOUTORADO,CURSO DE DOUTORADO,TESE DE DOUTORADO,ORIENTADOR DA TESE,INICIO_DOUTORADO,TERMINO_DOUTORADO,TITULACAO,AFILIACAO
Thiago Cassio Krug,SIM,Universidade Federal do Pampa,Engenharia de Software,2010,2013,Thiago Cassio Krug,SIM,3646026898257545,SIM,Universidade Federal de Santa Maria,Ciência da Computação,,2014,2016,NAO,,,,,,,,
,,,,,,,,,,Universidade Federal de Santa Maria,Ciência da Computação,Mecanismos de Busca por Oportunidades de Refatoração para Padrões,2017,2019,,,,,,,,,
